Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2926703,-,-,-,40.41,67.22,0,490,5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2018,1,1,0,30,3.3000000000000003,0,0,0,0,-10.4,0,0,0,0,0.301,35.800000000000004,116.62,0.14,966,0.4,139,0.6000000000000001
2018,1,1,1,30,2.9000000000000004,0,0,0,0,-10.4,0,0,0,0,0.301,37.02,105.5,0.14,966,0.4,138,0.6000000000000001
2018,1,1,2,30,2.6,0,0,0,0,-10.200000000000001,0,0,0,0,0.301,38.480000000000004,94.9,0.14,966,0.4,153,0.7000000000000001
2018,1,1,3,30,3.6,29,422,66,0,-8.8,29,422,0,66,0.303,40.03,84.96000000000001,0.14,966,0.4,177,0.8
2018,1,1,4,30,6,52,718,220,0,-5.2,52,718,0,220,0.304,44.43,76.5,0.14,966,0.4,183,1
2018,1,1,5,30,8.3,64,839,355,0,-7.1000000000000005,64,839,0,355,0.306,32.77,69.68,0.14,966,0.4,173,1
2018,1,1,6,30,10,80,853,438,0,-7.7,80,853,0,438,0.308,27.94,65.13,0.14,966,0.4,172,0.7000000000000001
2018,1,1,7,30,11.200000000000001,82,871,473,0,-7.5,82,871,0,473,0.309,26.150000000000002,63.38,0.14,965,0.4,141,0.5
2018,1,1,8,30,11.700000000000001,81,855,447,0,-7.6000000000000005,81,855,0,447,0.311,25.23,64.67,0.14,965,0.4,97,0.5
2018,1,1,9,30,10.9,74,806,365,0,-6.6000000000000005,74,806,0,365,0.311,28.740000000000002,68.81,0.14,965,0.4,83,0.6000000000000001
2018,1,1,10,30,8.4,62,687,236,0,-1.7000000000000002,62,687,0,236,0.311,48.95,75.32000000000001,0.14,965,0.4,80,0.9
2018,1,1,11,30,5.5,38,415,84,0,-4.1000000000000005,38,415,0,84,0.311,49.94,83.57000000000001,0.14,965,0.4,82,1.2000000000000002
2018,1,1,12,30,3.7,0,0,0,0,-6.2,0,0,0,0,0.313,48.5,93.31,0.14,965,0.4,90,1.2000000000000002
2018,1,1,13,30,2.6,0,0,0,0,-6,0,0,0,0,0.316,52.94,103.81,0.14,965,0.4,107,1.2000000000000002
2018,1,1,14,30,1.9000000000000001,0,0,0,0,-5.9,0,0,0,0,0.318,56.29,114.86,0.14,965,0.4,123,1.2000000000000002
2018,1,1,15,30,1.8,0,0,0,0,-5.9,0,0,0,0,0.321,56.85,126.22,0.14,965,0.4,131,1.2000000000000002
2018,1,1,16,30,2,0,0,0,0,-6,0,0,0,0,0.323,55.57,137.58,0.14,964,0.4,136,1.1
2018,1,1,17,30,2.4000000000000004,0,0,0,0,-6.1000000000000005,0,0,0,0,0.325,53.300000000000004,148.49,0.14,964,0.4,144,0.9
2018,1,1,18,30,2.6,0,0,0,0,-6.300000000000001,0,0,0,0,0.327,51.89,157.84,0.14,963,0.4,156,0.8
2018,1,1,19,30,2.6,0,0,0,0,-6.300000000000001,0,0,0,0,0.328,51.99,162.51,0.14,963,0.4,163,0.8
2018,1,1,20,30,2.4000000000000004,0,0,0,0,-6.300000000000001,0,0,0,0,0.328,52.83,159.02,0.14,962,0.4,159,0.9
2018,1,1,21,30,1.8,0,0,0,0,-6.7,0,0,0,0,0.326,53.24,150.14000000000001,0.14,962,0.4,151,0.9
2018,1,1,22,30,1.2000000000000002,0,0,0,0,-7.2,0,0,0,0,0.324,53.49,139.37,0.14,962,0.4,142,0.9
2018,1,1,23,30,1,0,0,0,0,-7.2,0,0,0,0,0.323,54.120000000000005,128.04,0.14,962,0.4,138,0.9
2018,1,2,0,30,0.5,0,0,0,0,-7.2,0,0,0,0,0.321,56.21,116.66,0.16,961,0.4,154,0.9
2018,1,2,1,30,0.5,0,0,0,0,-7.4,0,0,0,0,0.32,55.61,105.53,0.16,961,0.4,168,0.8
2018,1,2,2,30,1,0,0,0,0,-7.6000000000000005,0,0,0,0,0.32,52.65,94.92,0.16,961,0.4,201,0.7000000000000001
