Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2926703,-,-,-,40.41,67.22,0,490,5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2018,1,2,3,30,2.8000000000000003,35,277,60,0,-7.1000000000000005,35,277,0,60,0.32,48.31,84.97,0.16,961,0.4,222,0.7000000000000001
2018,1,2,4,30,5,72,579,207,0,-6,72,579,0,207,0.321,44.95,76.49,0.16,960,0.4,179,0.9
2018,1,2,5,30,6.7,91,717,340,1,-6.300000000000001,91,717,0,340,0.323,39.12,69.65,0.16,960,0.4,129,1.4000000000000001
2018,1,2,6,30,8,91,818,436,0,-7.300000000000001,91,818,0,436,0.324,33.13,65.07000000000001,0.16,959,0.4,111,1.9000000000000001
2018,1,2,7,30,9.1,88,858,473,0,-7.1000000000000005,88,858,0,473,0.327,31.17,63.300000000000004,0.16,959,0.4,101,2.1
2018,1,2,8,30,9.5,81,860,450,0,-6.800000000000001,81,860,0,450,0.33,31.080000000000002,64.56,0.16,958,0.4,89,2.1
2018,1,2,9,30,8.8,87,743,357,0,-6.2,87,743,0,357,0.333,34.17,68.69,0.16,958,0.5,70,1.6
2018,1,2,10,30,6.6000000000000005,70,626,230,4,-3.4000000000000004,102,124,3,134,0.335,49,75.18,0.16,957,0.5,45,1.1
2018,1,2,11,30,4.4,41,361,82,7,-4,33,0,3,33,0.337,54.480000000000004,83.44,0.16,957,0.5,36,1.1
2018,1,2,12,30,3.5,0,0,0,7,-5.300000000000001,0,0,0,0,0.34,52.54,93.18,0.16,956,0.5,45,1.1
2018,1,2,13,30,3.2,0,0,0,7,-5.6000000000000005,0,0,0,0,0.342,52.64,103.67,0.16,956,0.5,47,1
2018,1,2,14,30,2.9000000000000004,0,0,0,4,-5.800000000000001,0,0,0,0,0.343,52.92,114.72,0.16,956,0.5,29,0.8
2018,1,2,15,30,2.7,0,0,0,0,-6,0,0,0,0,0.343,52.9,126.08,0.16,955,0.5,160,0.7000000000000001
2018,1,2,16,30,2.4000000000000004,0,0,0,0,-6.2,0,0,0,0,0.343,53.22,137.44,0.16,955,0.5,279,0.7000000000000001
2018,1,2,17,30,2.2,0,0,0,7,-6.4,0,0,0,0,0.341,52.99,148.35,0.16,954,0.5,245,0.9
2018,1,2,18,30,2,0,0,0,7,-6.7,0,0,0,0,0.338,52.370000000000005,157.70000000000002,0.16,954,0.4,230,1.1
2018,1,2,19,30,2,0,0,0,7,-7.1000000000000005,0,0,0,0,0.335,50.910000000000004,162.42000000000002,0.16,954,0.4,219,1.3
2018,1,2,20,30,2.4000000000000004,0,0,0,7,-7.4,0,0,0,0,0.334,48.28,159,0.16,953,0.4,212,1.4000000000000001
2018,1,2,21,30,3.2,0,0,0,7,-7.9,0,0,0,0,0.332,44.08,150.16,0.16,953,0.4,210,1.6
2018,1,2,22,30,4.3,0,0,0,7,-8.1,0,0,0,0,0.33,39.94,139.41,0.16,953,0.5,208,1.6
2018,1,2,23,30,5,0,0,0,7,-8.6,0,0,0,0,0.33,36.78,128.08,0.16,953,0.5,205,1.6
2018,1,3,0,30,6.2,0,0,0,7,-8.6,0,0,0,0,0.328,33.84,116.69,0.16,953,0.6000000000000001,183,1.4000000000000001
2018,1,3,1,30,6,0,0,0,7,-8.3,0,0,0,0,0.326,35.12,105.56,0.16,953,0.6000000000000001,175,1.4000000000000001
2018,1,3,2,30,5.5,0,0,0,4,-7.9,0,0,0,0,0.322,37.4,94.94,0.16,954,0.7000000000000001,181,1.6
2018,1,3,3,30,5.800000000000001,37,146,50,7,-6.800000000000001,24,0,3,24,0.318,40.07,84.98,0.16,954,0.9,198,1.8
2018,1,3,4,30,7.2,95,372,181,7,-5.800000000000001,76,0,3,76,0.314,39.160000000000004,76.48,0.16,954,1.1,214,2.2
2018,1,3,5,30,9,134,486,303,7,-5.2,134,27,0,143,0.309,36.33,69.61,0.16,954,1.2000000000000002,222,2.6
2018,1,3,6,30,10.9,148,571,389,7,-4.3,177,60,0,203,0.305,34.08,65.01,0.16,954,1.2000000000000002,225,2.9000000000000004
2018,1,3,7,30,12.9,146,614,423,7,-3.4000000000000004,146,0,0,146,0.303,31.990000000000002,63.21,0.16,954,1.1,231,3.1
2018,1,3,8,30,13.9,137,611,401,7,-2.9000000000000004,26,0,0,26,0.301,31.080000000000002,64.45,0.16,953,1.1,240,2.8000000000000003
2018,1,3,9,30,12.700000000000001,126,541,323,7,-1.1,16,0,0,16,0.299,38.480000000000004,68.56,0.16,953,1.1,255,2
2018,1,3,10,30,9.8,105,377,203,7,0.2,11,0,3,11,0.296,51.35,75.05,0.16,954,1.1,276,1.6
2018,1,3,11,30,7.2,53,117,67,7,-1.1,6,0,3,6,0.294,55.65,83.3,0.16,954,1.1,294,1.6
2018,1,3,12,30,5.9,0,0,0,7,-2.2,0,0,0,0,0.293,56.02,93.03,0.16,955,1.1,307,1.8
2018,1,3,13,30,5,0,0,0,7,-2.8000000000000003,0,0,0,0,0.292,56.99,103.52,0.16,956,1,309,1.9000000000000001
2018,1,3,14,30,4.1000000000000005,0,0,0,6,-3.7,0,0,0,0,0.292,56.92,114.58,0.16,956,1.1,301,1.9000000000000001
2018,1,3,15,30,3.8000000000000003,0,0,0,7,-4.1000000000000005,0,0,0,0,0.292,56.38,125.94,0.16,957,1.1,291,1.9000000000000001
2018,1,3,16,30,3.7,0,0,0,7,-3.9000000000000004,0,0,0,0,0.292,57.49,137.3,0.16,957,1.1,285,1.9000000000000001
2018,1,3,17,30,3.3000000000000003,0,0,0,4,-3.4000000000000004,0,0,0,0,0.293,61.31,148.21,0.16,957,1.2000000000000002,281,1.9000000000000001
2018,1,3,18,30,2.6,0,0,0,0,-3.1,0,0,0,0,0.293,66,157.56,0.16,957,1.2000000000000002,278,1.9000000000000001
2018,1,3,19,30,2.1,0,0,0,7,-2.9000000000000004,0,0,0,0,0.294,69.42,162.31,0.16,957,1.3,277,2
2018,1,3,20,30,1.9000000000000001,0,0,0,7,-2.5,0,0,0,0,0.295,72.8,158.97,0.16,958,1.4000000000000001,273,2
2018,1,3,21,30,2.1,0,0,0,7,-1.8,0,0,0,0,0.296,75.66,150.17000000000002,0.16,958,1.4000000000000001,265,2.1
2018,1,3,22,30,2.4000000000000004,0,0,0,7,-1,0,0,0,0,0.297,78.52,139.43,0.16,959,1.5,258,2.2
2018,1,3,23,30,2.5,0,0,0,7,-0.1,0,0,0,0,0.298,82.73,128.11,0.16,959,1.5,254,2.3000000000000003
2018,1,4,0,30,2.4000000000000004,0,0,0,7,0.5,0,0,0,0,0.301,87.53,116.72,0.16,960,1.6,247,2.1
2018,1,4,1,30,2.2,0,0,0,9,0.9,0,0,0,0,0.303,91.12,105.58,0.16,960,1.6,244,2.1
2018,1,4,2,30,2.3000000000000003,0,0,0,7,1.1,0,0,0,0,0.307,91.68,94.95,0.16,961,1.5,243,2.2
2018,1,4,3,30,2.6,25,9,26,7,1.1,25,0,3,25,0.312,90.09,84.97,0.16,962,1.5,240,2.3000000000000003
2018,1,4,4,30,3.3000000000000003,126,102,150,4,1.2000000000000002,14,0,3,14,0.317,86.05,76.45,0.16,962,1.5,238,2.7
2018,1,4,5,30,4,191,235,273,4,1.3,47,0,0,47,0.321,82.60000000000001,69.56,0.16,963,1.4000000000000001,240,3
2018,1,4,6,30,4.9,217,338,360,4,1.3,107,0,0,107,0.325,77.66,64.93,0.16,963,1.4000000000000001,248,3.1
2018,1,4,7,30,5.9,212,415,400,4,1.2000000000000002,75,0,0,75,0.327,71.73,63.11,0.16,963,1.3,260,2.9000000000000004
2018,1,4,8,30,6.6000000000000005,192,441,383,7,0.9,191,135,0,250,0.329,66.95,64.33,0.16,963,1.3,277,2.4000000000000004
2018,1,4,9,30,6.800000000000001,161,415,314,4,0.7000000000000001,78,0,0,78,0.331,64.93,68.42,0.16,963,1.2000000000000002,312,1.6
2018,1,4,10,30,6,118,320,201,4,0.8,40,0,0,40,0.333,69.49,74.9,0.16,964,1.2000000000000002,193,1
2018,1,4,11,30,3.9000000000000004,56,114,69,7,1.3,42,18,3,44,0.335,83.44,83.15,0.16,964,1.2000000000000002,64,1
2018,1,4,12,30,2.2,0,0,0,7,0.8,0,0,0,0,0.336,90.46000000000001,92.89,0.16,964,1.2000000000000002,86,1.4000000000000001
2018,1,4,13,30,1.6,0,0,0,7,1.1,0,0,0,0,0.337,96.76,103.38,0.16,965,1.2000000000000002,102,1.5
2018,1,4,14,30,1.2000000000000002,0,0,0,7,1.2000000000000002,0,0,0,0,0.337,100,114.44,0.16,965,1.3,118,1.3
2018,1,4,15,30,1.2000000000000002,0,0,0,4,1.2000000000000002,0,0,0,0,0.336,100,125.79,0.16,965,1.3,131,1.2000000000000002
2018,1,4,16,30,1.5,0,0,0,4,1.3,0,0,0,0,0.335,98.33,137.15,0.16,965,1.3,140,1
2018,1,4,17,30,1.7000000000000002,0,0,0,7,1.3,0,0,0,0,0.334,97.08,148.06,0.16,964,1.3,145,0.8
2018,1,4,18,30,1.7000000000000002,0,0,0,4,1.3,0,0,0,0,0.334,97.04,157.42000000000002,0.16,964,1.3,139,0.5
2018,1,4,19,30,1.6,0,0,0,4,1.2000000000000002,0,0,0,0,0.334,97.15,162.20000000000002,0.16,964,1.3,91,0.4
2018,1,4,20,30,1.5,0,0,0,4,1,0,0,0,0,0.334,96.77,158.92000000000002,0.16,964,1.3,48,0.5
2018,1,4,21,30,1.3,0,0,0,4,0.9,0,0,0,0,0.335,97.03,150.17000000000002,0.16,964,1.3,44,0.7000000000000001
2018,1,4,22,30,1.1,0,0,0,4,0.7000000000000001,0,0,0,0,0.336,96.97,139.45000000000002,0.16,964,1.2000000000000002,42,0.8
2018,1,4,23,30,0.9,0,0,0,4,0.4,0,0,0,0,0.336,96.37,128.13,0.16,964,1.2000000000000002,43,0.9
2018,1,5,0,30,0.7000000000000001,0,0,0,0,0.1,0,0,0,0,0.337,95.76,116.74000000000001,0.16,964,1.2000000000000002,41,1
2018,1,5,1,30,0.4,0,0,0,4,-0.2,0,0,0,0,0.337,95.99000000000001,105.60000000000001,0.16,965,1.2000000000000002,44,0.9
2018,1,5,2,30,0.5,0,0,0,8,-0.4,0,0,0,0,0.335,93.71000000000001,94.95,0.16,965,1.2000000000000002,49,0.7000000000000001
2018,1,5,3,30,1.2000000000000002,39,66,45,4,-0.4,5,0,3,5,0.333,88.85000000000001,84.96000000000001,0.16,965,1.2000000000000002,97,0.8
2018,1,5,4,30,2.5,104,316,178,4,-0.1,14,0,3,14,0.333,82.88,76.42,0.16,965,1.1,146,0.9
2018,1,5,5,30,4.3,135,483,304,4,0.30000000000000004,106,0,0,106,0.334,75.15,69.51,0.16,965,1.1,111,0.9
2018,1,5,6,30,6,146,583,394,0,0.4,146,583,0,394,0.334,67.55,64.85,0.16,964,1.1,62,1.1
2018,1,5,7,30,7.300000000000001,149,617,429,0,0.6000000000000001,149,617,0,429,0.332,62.29,63,0.16,964,1.1,50,1.2000000000000002
2018,1,5,8,30,8.1,144,606,408,0,0.6000000000000001,144,606,0,408,0.329,59.08,64.2,0.16,964,1.1,49,1.4000000000000001
2018,1,5,9,30,8,111,623,341,0,0.5,111,623,0,341,0.325,59.19,68.28,0.16,964,1.1,46,1.6
2018,1,5,10,30,6.5,90,498,221,0,0.6000000000000001,90,498,0,221,0.322,65.85,74.76,0.16,964,1.1,43,1.5
2018,1,5,11,30,3.6,51,245,80,0,1.3,51,245,0,80,0.32,84.64,83.01,0.16,964,1.1,47,1.3
2018,1,5,12,30,1.4000000000000001,0,0,0,0,0.30000000000000004,0,0,0,0,0.32,92.49,92.74,0.16,964,1,56,1.3
2018,1,5,13,30,0.6000000000000001,0,0,0,0,0.1,0,0,0,0,0.32,96.69,103.23,0.16,964,1,68,1.3
2018,1,5,14,30,0.2,0,0,0,0,0,0,0,0,0,0.32,98.42,114.29,0.16,964,1,81,1.3
2018,1,5,15,30,0,0,0,0,0,-0.2,0,0,0,0,0.321,98.59,125.64,0.16,963,0.9,91,1.2000000000000002
2018,1,5,16,30,0,0,0,0,0,-0.4,0,0,0,0,0.321,97.13,137.01,0.16,963,0.9,101,1.1
2018,1,5,17,30,-0.1,0,0,0,0,-0.6000000000000001,0,0,0,0,0.321,96.09,147.91,0.16,963,0.9,122,1
2018,1,5,18,30,-0.30000000000000004,0,0,0,0,-0.9,0,0,0,0,0.321,95.46000000000001,157.26,0.16,962,0.8,154,1
2018,1,5,19,30,-0.5,0,0,0,0,-1.1,0,0,0,0,0.32,95.4,162.08,0.16,962,0.8,175,1.1
2018,1,5,20,30,-0.6000000000000001,0,0,0,0,-1.3,0,0,0,0,0.319,95.01,158.88,0.16,962,0.8,182,1
2018,1,5,21,30,-0.6000000000000001,0,0,0,0,-1.4000000000000001,0,0,0,0,0.318,94.45,150.17000000000002,0.16,962,0.7000000000000001,183,0.9
2018,1,5,22,30,-0.4,0,0,0,0,-1.4000000000000001,0,0,0,0,0.317,92.63,139.47,0.16,962,0.7000000000000001,181,0.8
2018,1,5,23,30,-0.30000000000000004,0,0,0,0,-1.6,0,0,0,0,0.317,91.13,128.15,0.16,962,0.7000000000000001,179,0.8
2018,1,6,0,30,0,0,0,0,8,-1.7000000000000002,0,0,0,0,0.319,88.2,116.76,0.16,962,0.7000000000000001,188,0.8
2018,1,6,1,30,0.1,0,0,0,7,-1.8,0,0,0,0,0.321,86.93,105.61,0.16,962,0.7000000000000001,193,0.7000000000000001
2018,1,6,2,30,0.5,0,0,0,7,-1.9000000000000001,0,0,0,0,0.322,83.87,94.95,0.16,962,0.7000000000000001,205,0.6000000000000001
2018,1,6,3,30,1.7000000000000002,38,204,56,4,-1.7000000000000002,29,0,3,29,0.323,78,84.94,0.16,962,0.7000000000000001,196,0.6000000000000001
2018,1,6,4,30,3.4000000000000004,80,508,199,7,-0.9,93,128,3,123,0.324,73.62,76.38,0.16,962,0.7000000000000001,160,0.7000000000000001
2018,1,6,5,30,5,101,649,329,7,-0.9,140,257,0,231,0.323,65.76,69.44,0.16,963,0.8,126,0.8
2018,1,6,6,30,6.5,125,674,412,7,-0.7000000000000001,170,324,0,308,0.323,60.230000000000004,64.77,0.16,962,0.8,100,0.8
2018,1,6,7,30,7.6000000000000005,128,702,448,7,-0.8,191,290,0,323,0.321,55.35,62.89,0.16,962,0.8,83,0.8
2018,1,6,8,30,8.200000000000001,124,691,427,0,-0.9,124,691,0,427,0.32,52.870000000000005,64.06,0.16,962,0.8,66,0.8
2018,1,6,9,30,8,118,615,347,1,-0.8,118,615,0,347,0.32,53.61,68.13,0.16,962,0.8,54,0.9
2018,1,6,10,30,6.4,94,493,225,7,-0.2,106,86,0,129,0.322,62.78,74.60000000000001,0.16,962,0.9,51,0.9
2018,1,6,11,30,3.7,52,248,83,4,0.6000000000000001,12,0,3,12,0.324,80.21000000000001,82.85000000000001,0.16,962,0.9,55,0.9
2018,1,6,12,30,1.9000000000000001,0,0,0,4,-0.2,0,0,0,0,0.327,85.99,92.58,0.16,962,0.9,63,0.9
2018,1,6,13,30,1.4000000000000001,0,0,0,4,-0.2,0,0,0,0,0.33,89.36,103.07000000000001,0.16,963,1,64,0.8
2018,1,6,14,30,1.2000000000000002,0,0,0,7,-0.2,0,0,0,0,0.332,90.16,114.14,0.16,963,1,44,0.7000000000000001
2018,1,6,15,30,0.7000000000000001,0,0,0,4,-0.4,0,0,0,0,0.333,92.25,125.49000000000001,0.16,963,1,183,0.6000000000000001
2018,1,6,16,30,0.30000000000000004,0,0,0,0,-0.6000000000000001,0,0,0,0,0.335,93.43,136.85,0.16,964,1,314,0.6000000000000001
2018,1,6,17,30,0.1,0,0,0,0,-1,0,0,0,0,0.336,92.51,147.76,0.16,964,1,268,0.6000000000000001
2018,1,6,18,30,0,0,0,0,0,-1.4000000000000001,0,0,0,0,0.338,90.09,157.11,0.16,964,1,236,0.8
2018,1,6,19,30,0.1,0,0,0,0,-1.9000000000000001,0,0,0,0,0.338,86.27,161.95000000000002,0.16,964,1,225,0.9
2018,1,6,20,30,0.2,0,0,0,0,-2.4000000000000004,0,0,0,0,0.338,82.71000000000001,158.82,0.16,964,1,219,0.9
2018,1,6,21,30,0.6000000000000001,0,0,0,0,-2.9000000000000004,0,0,0,0,0.339,77.38,150.16,0.16,964,0.9,214,1
2018,1,6,22,30,1.2000000000000002,0,0,0,0,-3.4000000000000004,0,0,0,0,0.339,71.62,139.48,0.16,964,0.9,210,1
2018,1,6,23,30,1.5,0,0,0,0,-3.8000000000000003,0,0,0,0,0.339,68.04,128.17000000000002,0.16,964,0.9,209,1
2018,1,7,0,30,1.9000000000000001,0,0,0,0,-4.1000000000000005,0,0,0,0,0.338,64.57000000000001,116.77,0.16,964,0.9,208,0.9
2018,1,7,1,30,2.1,0,0,0,0,-4.3,0,0,0,0,0.337,62.58,105.61,0.16,965,0.8,207,0.9
2018,1,7,2,30,2.3000000000000003,0,0,0,4,-4.5,0,0,0,0,0.335,60.78,94.95,0.16,965,0.8,212,0.9
2018,1,7,3,30,3.6,39,172,54,0,-3.9000000000000004,39,172,0,54,0.334,58.11,84.92,0.16,966,0.8,222,1
2018,1,7,4,30,5.9,84,472,195,0,-2.5,84,472,0,195,0.333,54.85,76.34,0.16,967,0.8,227,1.3
2018,1,7,5,30,8,108,620,326,4,-3,51,0,0,51,0.333,45.85,69.38,0.16,967,0.8,234,1.4000000000000001
2018,1,7,6,30,9.8,116,706,418,7,-2.4000000000000004,86,0,0,86,0.333,42.44,64.67,0.16,967,0.8,250,1.4000000000000001
2018,1,7,7,30,10.8,121,725,453,7,-2.4000000000000004,44,0,3,44,0.332,39.76,62.77,0.16,967,0.8,268,1.6
2018,1,7,8,30,11,120,708,431,4,-2.5,86,0,0,86,0.333,38.95,63.92,0.16,967,0.8,290,1.6
2018,1,7,9,30,10.4,110,649,353,4,-2.3000000000000003,91,0,0,91,0.334,40.85,67.98,0.16,967,0.8,319,1.3
2018,1,7,10,30,8.4,90,520,230,7,0.2,12,0,0,12,0.336,56.300000000000004,74.44,0.16,967,0.9,169,1
2018,1,7,11,30,5.800000000000001,53,262,86,7,0.2,7,0,3,7,0.339,67.39,82.69,0.16,968,0.9,9,1.1
2018,1,7,12,30,4.5,0,0,0,7,-1.5,0,0,0,0,0.342,65.12,92.42,0.16,969,0.9,19,1.1
2018,1,7,13,30,4.1000000000000005,0,0,0,7,-1.7000000000000002,0,0,0,0,0.34600000000000003,65.88,102.92,0.16,970,0.9,24,1
2018,1,7,14,30,3.8000000000000003,0,0,0,7,-1.8,0,0,0,0,0.34900000000000003,66.82000000000001,113.98,0.16,970,1,21,0.8
2018,1,7,15,30,3.5,0,0,0,7,-1.9000000000000001,0,0,0,0,0.35000000000000003,67.86,125.34,0.16,971,1,188,0.6000000000000001
2018,1,7,16,30,3.1,0,0,0,7,-2.1,0,0,0,0,0.352,68.68,136.70000000000002,0.16,971,1,345,0.5
2018,1,7,17,30,2.8000000000000003,0,0,0,7,-2.2,0,0,0,0,0.353,69.45,147.6,0.16,970,1,315,0.5
2018,1,7,18,30,2.5,0,0,0,7,-2.3000000000000003,0,0,0,0,0.353,70.43,156.95000000000002,0.16,970,1,288,0.6000000000000001
2018,1,7,19,30,2.2,0,0,0,7,-2.4000000000000004,0,0,0,0,0.354,71.8,161.82,0.16,970,1,273,0.8
2018,1,7,20,30,1.9000000000000001,0,0,0,4,-2.4000000000000004,0,0,0,0,0.353,73.3,158.76,0.16,970,1.1,268,0.9
2018,1,7,21,30,1.6,0,0,0,7,-2.3000000000000003,0,0,0,0,0.352,75.13,150.14000000000001,0.16,970,1.1,267,1
2018,1,7,22,30,1.3,0,0,0,7,-2.2,0,0,0,0,0.35100000000000003,77.25,139.48,0.16,970,1.1,268,1.1
2018,1,7,23,30,1.2000000000000002,0,0,0,7,-2.1,0,0,0,0,0.35000000000000003,78.52,128.17000000000002,0.16,970,1.1,270,1.1
2018,1,8,0,30,1.1,0,0,0,6,-2,0,0,0,0,0.34800000000000003,79.99,116.78,0.16,971,1.1,276,1
2018,1,8,1,30,1,0,0,0,7,-1.8,0,0,0,0,0.34800000000000003,81.66,105.61,0.16,971,1.1,280,1
2018,1,8,2,30,1.3,0,0,0,6,-1.6,0,0,0,0,0.34700000000000003,81.10000000000001,94.93,0.16,972,1.2000000000000002,283,0.9
2018,1,8,3,30,2.3000000000000003,40,108,49,6,-1,5,0,3,5,0.34600000000000003,78.69,84.89,0.16,972,1.2000000000000002,288,1
2018,1,8,4,30,3.9000000000000004,96,373,185,7,-0.5,10,0,3,10,0.34700000000000003,72.92,76.29,0.16,972,1.2000000000000002,298,1.3
2018,1,8,5,30,5.300000000000001,126,528,312,7,-0.4,47,0,0,47,0.34800000000000003,66.91,69.3,0.16,973,1.2000000000000002,312,1.3
2018,1,8,6,30,6.1000000000000005,140,608,401,7,-0.2,21,0,0,21,0.35100000000000003,64.09,64.57000000000001,0.16,973,1.2000000000000002,320,1.4000000000000001
2018,1,8,7,30,6.5,142,643,438,7,-0.1,53,0,0,53,0.353,62.51,62.64,0.16,972,1.2000000000000002,323,1.5
2018,1,8,8,30,6.4,136,643,420,7,-0.1,19,0,0,19,0.354,63.17,63.77,0.16,972,1.1,327,1.6
2018,1,8,9,30,6.1000000000000005,128,570,343,4,0,28,0,0,28,0.355,64.83,67.82000000000001,0.16,972,1.1,337,1.5
